,fund,e_support,s_support,g_support,e_vote,s_vote,g_vote,index,id,fund_manager,fund_is_esg
44, Vanguard Institutional Index Fund,3.110047846889952,10.526315789473683,7.017543859649122,83,237,315, Vanguard Institutional Index Fund,44,1,0
45, Vanguard Structured Broad Market Fund,3.0542986425339365,9.16289592760181,6.67420814479638,64,176,206, Vanguard Structured Broad Market Fund,45,1,0
46, Vanguard Primecap Fund,3.0172413793103448,11.422413793103448,7.327586206896551,31,89,114, Vanguard Primecap Fund,46,1,0
47,Vanguard Morgan Growth Fund,2.991944764096663,6.962025316455696,6.61680092059839,144,325,425,Vanguard Morgan Growth Fund,47,1,0
48, Vanguard Equity Income Fund,2.933333333333333,8.933333333333334,3.733333333333334,64,147,166, Vanguard Equity Income Fund,48,1,0
49,Vanguard Tax-Managed Small-Cap Fund,2.857142857142857,5.714285714285714,34.285714285714285,4,6,25,Vanguard Tax-Managed Small-Cap Fund,49,1,0
50,Vanguard Growth And Income Fund,2.8169014084507045,4.979879275653923,6.690140845070422,175,381,471,Vanguard Growth And Income Fund,50,1,0
51,Vanguard Institutional Total Stock Market Index Fund,2.735562310030395,1.5197568389057752,9.72644376899696,65,117,160,Vanguard Institutional Total Stock Market Index Fund,51,1,0
52,Vanguard Russell 1000 Index Fund,2.7027027027027026,9.266409266409266,8.108108108108109,42,99,123,Vanguard Russell 1000 Index Fund,52,1,0
53, Vanguard S &P 500 Growth Index Fund,2.601156069364162,9.104046242774565,9.248554913294797,43,121,183, Vanguard S &P 500 Growth Index Fund,53,1,0
54,Vanguard Capital Opportunity Fund,2.4691358024691357,5.761316872427984,6.584362139917696,36,103,115,Vanguard Capital Opportunity Fund,54,1,0
55, Vanguard Morgan Growth Fund,2.455357142857143,9.263392857142858,11.830357142857142,56,161,236, Vanguard Morgan Growth Fund,55,1,0
56,Vanguard Russell 2000 Index Fund,2.272727272727273,6.8181818181818175,65.9090909090909,1,7,36,Vanguard Russell 2000 Index Fund,56,1,0
57,Vanguard S &P 500 Growth Index Fund,2.2546419098143233,6.56498673740053,7.891246684350133,131,304,342,Vanguard S &P 500 Growth Index Fund,57,1,0
58,Vanguard Structured Broad Market Fund,2.208835341365462,5.8232931726907635,3.815261044176707,44,98,110,Vanguard Structured Broad Market Fund,58,1,0
59, Vanguard Wellington Fund,2.1875,9.375,4.21875,50,127,145, Vanguard Wellington Fund,59,1,0
60, Vanguard Windsor Fund,1.937984496124031,12.209302325581394,3.875968992248062,32,115,113, Vanguard Windsor Fund,60,1,0
61,Vanguard Total World Stock Index Fund,1.6172506738544474,2.560646900269542,13.477088948787062,45,133,206,Vanguard Total World Stock Index Fund,61,1,0
62, Vanguard Wellesley Income Fund,1.477832512315271,7.389162561576355,1.477832512315271,33,88,84, Vanguard Wellesley Income Fund,62,1,0
63,Vanguard Variable Insurance Fund-Capital Growth Portfolio,1.4634146341463417,7.560975609756097,4.878048780487805,27,93,89,Vanguard Variable Insurance Fund-Capital Growth Portfolio,63,1,0
64,Vanguard Strategic Equity Fund,1.4285714285714286,8.571428571428571,25.71428571428571,2,15,18,Vanguard Strategic Equity Fund,64,1,0
65, Vanguard Variable Insurance Fund-Capital Growth Portfolio,1.2195121951219512,11.788617886178862,7.317073170731707,14,47,63, Vanguard Variable Insurance Fund-Capital Growth Portfolio,65,1,0
66,Vanguard Primecap Core Fund,0.853658536585366,4.512195121951219,5.853658536585367,47,185,195,Vanguard Primecap Core Fund,66,1,0
67,Vanguard Global Minimum Volatility Fund,0.8264462809917356,3.3057851239669422,9.090909090909092,22,51,49,Vanguard Global Minimum Volatility Fund,67,1,0
68,Vanguard Windsor Ii Fund,0.7299270072992701,0.36496350364963503,6.204379562043796,33,111,146,Vanguard Windsor Ii Fund,68,1,0
69,Vanguard S&P Small-Cap 600 Value Index Fund,0.0,0.0,60.0,0,1,9,Vanguard S&P Small-Cap 600 Value Index Fund,69,1,0
70,Vanguard Real Estate Ii Index Fund,0.0,33.33333333333333,0.0,0,5,1,Vanguard Real Estate Ii Index Fund,70,1,0
71, Vanguard International Value Fund,0.0,5.555555555555555,0.0,1,2,6, Vanguard International Value Fund,71,1,0
72, Vanguard Pacific Stock Index Fund,0.0,0.0,7.6923076923076925,13,5,8, Vanguard Pacific Stock Index Fund,72,1,0
73, Vanguard Precious Metals And Mining Fund,0.0,25.0,0.0,1,1,0, Vanguard Precious Metals And Mining Fund,73,1,0
74,Vanguard Variable Insurance Fund-Total Stock Market Index,0.0,0.0,0.0,0,1,0,Vanguard Variable Insurance Fund-Total Stock Market Index,74,1,0
75,Vanguard Variable Insurance Fund-Reit Index Portfolio,0.0,0.0,100.0,0,0,1,Vanguard Variable Insurance Fund-Reit Index Portfolio,75,1,0
76,"Ching-Tien Wu, With Id/Shareholder",0.0,2.631578947368421,5.263157894736842,6,4,9,"Ching-Tien Wu, With Id/Shareholder",76,1,0
77,Vanguard Capital Value Fund,0.0,7.79816513761468,6.422018348623854,7,45,60,Vanguard Capital Value Fund,77,1,0
78,Vanguard Dividend Appreciation Index Fund,0.0,1.7543859649122806,3.508771929824561,3,28,27,Vanguard Dividend Appreciation Index Fund,78,1,0
79,Vanguard Us Multifactor Etf,0.0,2.803738317757009,14.018691588785046,6,45,60,Vanguard Us Multifactor Etf,79,1,0
80,Vanguard Emerging Markets Stock Index Fund,0.0,50.0,50.0,0,1,1,Vanguard Emerging Markets Stock Index Fund,80,1,0
81,Vanguard Institutional Target Retirement 2045 Fund,0.0,0.0,0.0,0,2,0,Vanguard Institutional Target Retirement 2045 Fund,81,1,0
82,Vanguard Lifestrategy Growth Fund,0.0,0.0,0.0,0,2,0,Vanguard Lifestrategy Growth Fund,82,1,0
83,Vanguard Managed Payout Fund,0.0,0.0,0.0,0,4,0,Vanguard Managed Payout Fund,83,1,0
84,Vanguard Pacific Stock Index Fund,0.0,0.0,2.083333333333333,29,14,10,Vanguard Pacific Stock Index Fund,84,1,0
85,Vanguard Precious Metals And Mining Fund,0.0,0.0,20.0,0,4,1,Vanguard Precious Metals And Mining Fund,85,1,0
86,Vanguard Ftse All-World Ex-Us Index Fund,0.0,1.1627906976744187,1.1627906976744187,31,38,20,Vanguard Ftse All-World Ex-Us Index Fund,86,1,0
