id,fund,e_support,s_support,g_support,e_vote,s_vote,g_vote,fund_manager,fund_is_esg
115,"Blackrock Global Growth Fund, Inc.",0.4291845493562230,0.0,0.0,39,84,110,0,0
91,"Blackrock Basic Value Fund, Inc.",0.9090909090909090,0.0,0.0,37,83,106,0,0
86,Blackrock Natural Resources Trust,1.0638297872340400,0.0,0.0,130,149,104,0,0
71,Ishares Russell Small/Mid-Cap Index Fund,2.027027027027030,0.0,0.0,21,26,101,0,0
72,Ishares Russell Mid-Cap Index Fund,2.0100502512562800,0.0,0.0,33,78,89,0,0
97,Blackrock Mid Cap Value Opportunities Fund,0.6944444444444440,0.0,0.0,27,29,88,0,0
95,Ishares FTSE Kld Select Social Sm Index Fund,0.7874015748031500,0.0,0.0,4,36,87,0,0
8,Vanguard Variable Insurance Fund-Mid-Cap Index Portfolio,6.289308176100630,6.918238993710690,15.09433962264150,21,51,87,1,0
111,Ishares Edge MSCI Min Vol Usa Index Fund,0.46511627906976700,0.0,0.0,22,110,85,0,0
105,Blackrock Flexible Equity Fund,0.5102040816326530,0.0,0.0,34,81,82,0,0
103,Blackrock Advantage Large Cap Growth Fund,0.5586592178770950,0.0,0.0,17,84,81,0,0
17,Vanguard Russell 2000 Growth Index Fund,4.700854700854700,4.273504273504270,36.75213675213680,20,17,80,1,0
4,Vanguard Small-Cap Growth Index Fund,8.264462809917360,4.132231404958680,26.446280991735500,33,14,75,1,0
89,"Blackrock Utilities And Telecommunications Fund, Inc.",0.9615384615384620,0.0,0.0,24,15,67,0,0
18,Vanguard Variable Insurance Fund-Equity Income Portfolio,4.666666666666670,7.666666666666670,3.3333333333333300,35,52,64,1,0
60,Vanguard Capital Value Fund,0.0,7.79816513761468,6.422018348623850,7,45,60,1,0
51,Vanguard U.S. Multifactor Etf,0.0,2.803738317757010,14.018691588785000,6,45,60,1,0
84,BlackRock Flexible Equity Fund,1.2987012987013000,0.0,0.0,10,10,57,0,0
80,Blackrock All-Cap Energy & Resources Portfolio,1.3888888888888900,0.0,0.0,85,80,54,0,0
100,Blackrock Global Dividend Portfolio,0.628930817610063,0.0,0.0,27,80,52,0,0
87,Blackrock Mid-Cap Growth Equity Portfolio,1.0526315789473700,0.0,0.0,23,23,50,0,0
45,Vanguard Global Minimum Volatility Fund,0.8264462809917360,3.3057851239669400,9.090909090909090,22,51,49,1,0
88,Ishares Edge MSCI Usa Value Factor Index Fund,1.0526315789473700,0.0,0.0,17,31,47,0,0
92,Blackrock Midcap Index Fund,0.8547008547008550,0.0,0.0,36,35,46,0,0
76,Blackrock Commodity Strategies Fund,1.6129032258064500,0.0,0.0,70,75,45,0,0
75,Blackrock Utilities And Telecommunications V.I. Fund,1.6129032258064500,0.0,0.0,12,7,44,0,0
24,Vanguard Mid-Cap Value Index Fund,3.8461538461538500,10.0,26.153846153846200,6,16,43,1,0
85,Ishares Edge MSCI Multifactor Usa Index Fund,1.282051282051280,0.0,0.0,12,24,42,0,0
73,Blackrock Value Opportunities V.I. Fund,1.7857142857142900,0.0,0.0,10,7,39,0,0
78,Blackrock Global Growth V.I. Fund,1.4084507042253500,0.0,0.0,7,25,39,0,0
69,Blackrock U.S. Equity Factor Rotation Etf,2.197802197802200,0.0,0.0,7,46,38,0,0
41,Vanguard Russell 2000 Index Fund,2.272727272727270,6.8181818181818200,65.9090909090909,1,7,36,1,0
81,Blackrock Event Driven Equity Fund,1.3513513513513500,0.0,0.0,14,25,36,0,0
20,Vanguard Small-Cap Value Index Fund,4.25531914893617,8.51063829787234,36.17021276595750,3,11,33,1,0
218,Blackrock Master Small Cap Growth Portfolio,0.0,0.0,0.0,10,10,29,0,0
70,Blackrock Energy & Resources Portfolio,2.1505376344086000,0.0,0.0,40,26,28,0,0
59,Vanguard Dividend Appreciation Index Fund,0.0,1.7543859649122800,3.508771929824560,3,28,27,1,0
11,Vanguard International Growth Fund,5.555555555555560,3.1746031746031700,3.1746031746031700,14,24,26,1,0
13,Vanguard S&P Mid-Cap 400 Index Fund,5.405405405405410,4.054054054054050,21.62162162162160,7,5,25,1,0
35,Vanguard Tax-Managed Small-Cap Fund,2.857142857142860,5.714285714285710,34.285714285714300,4,6,25,1,0
3,Vanguard U.S. Liquidity Factor Etf,10.16949152542370,3.389830508474580,5.084745762711870,18,18,25,1,0
67,Blackrock International Opportunities Portfolio,2.857142857142860,0.0,0.0,5,6,24,0,0
9,Vanguard International Value Fund,6.097560975609760,1.2195121951219500,6.097560975609760,11,7,23,1,0
77,Ishares Edge MSCI Usa Quality Factor Index Fund,1.5873015873015900,0.0,0.0,10,31,22,0,0
55,Vanguard FTSE All-World Ex-U.S. Index Fund,0.0,1.1627906976744200,1.1627906976744200,31,38,20,1,0
42,Vanguard Strategic Equity Fund,1.4285714285714300,8.571428571428570,25.71428571428570,2,15,18,1,0
50,Vanguard Pacific Stock Index Fund,0.0,0.0,4.054054054054050,42,19,18,1,0
62,Blackrock Aurora Portfolio,13.043478260869600,0.0,0.0,4,5,14,0,0
12,Vanguard Mid-Cap Growth Fund,5.555555555555560,8.333333333333330,50.0,2,4,12,1,0
1,Vanguard Energy Fund,14.285714285714300,19.047619047619000,7.142857142857140,14,18,11,1,0
68,Blackrock Macro Themes Fund,2.272727272727270,0.0,0.0,11,23,10,0,0
47,Vanguard S&P Small-Cap 600 Value Index Fund,0.0,0.0,60.0,0,1,9,1,0
65,Blackrock Small Cap Core Equity Portfolio,9.090909090909090,0.0,0.0,1,2,8,0,0
61,Blackrock Small Cap Value Equity Portfolio,16.666666666666700,0.0,0.0,3,2,7,0,0
10,Vanguard Explorer Value Fund,5.555555555555560,11.11111111111110,33.33333333333330,1,2,6,1,0
63,Blackrock Global Resources Portfolio,11.11111111111110,0.0,0.0,2,3,4,0,0
21,Vanguard Developed Markets Index Fund,4.166666666666670,4.166666666666670,16.666666666666700,5,3,4,1,0
7,Vanguard Utilities Index Fund,7.142857142857140,0.0,7.142857142857140,1,9,4,1,0
56,Vanguard Variable Insurance Fund-Reit Index Portfolio,0.0,0.0,100.0,0,0,1,1,0
58,Vanguard Emerging Markets Stock Index Fund,0.0,50.0,50.0,0,1,1,1,0
48,Vanguard Real Estate Ii Index Fund,0.0,33.33333333333330,0.0,0,5,1,1,0
49,Vanguard Precious Metals And Mining Fund,0.0,7.142857142857140,14.285714285714300,1,5,1,1,0
2,Vanguard European Stock Index Fund,12.5,12.5,0.0,1,3,0,1,0
