id,fund_manager,fund,fund_all_names,e_vote,s_vote,g_vote,e_support,s_support,g_support,fund_is_esg,sum_votes
289,1,Vanguard Large-Cap Index Fund,['Vanguard Large-Cap Index Fund'],114,238,331,3.733528551,9.370424597,9.663250366,0,683
17,1,VANGUARD WELLESLEY INCOME FUND,['VANGUARD WELLESLEY INCOME FUND'],116,279,290,3.430656934,6.131386861,1.605839416,0,685
315,1,Vanguard Structured Broad Market,['Vanguard Structured Broad Market'],104,274,316,2.665706052,7.925072046,5.619596542,0,694
273,0,BlackRock Managed Volatility V.I. Fund,"['BlackRock Balanced Capital V.I. Fund', 'BlackRock Managed Volatility V.I. Fund']",92,280,336,0.706214689,1.694915254,13.55932203,0,708
281,0,BlackRock Basic Value V.I. Fund,['BlackRock Basic Value V.I. Fund'],112,279,358,0.267022697,1.068090788,11.88251001,0,749
327,2,SSgA Disciplined Equity Fund,['SSgA Disciplined Equity Fund'],117,278,384,3.337612323,7.060333761,8.344030809,0,779
222,0,BlackRock Long-Horizon Equity Fund,"['BlackRock Global Dynamic Equity Fund', 'BlackRock Long-Horizon Equity Fund']",105,293,437,0.479041916,1.19760479,19.88023952,0,835
277,0,BlackRock Advantage Large Cap Value V.I. Fund,"['BlackRock Large Cap Value V.I. Fund', 'BlackRock Advantage Large Cap Value V.I. Fund']",125,335,386,0.709219858,1.182033097,10.63829787,0,846
18,1,VANGUARD WELLINGTON FUND,['VANGUARD WELLINGTON FUND'],132,318,407,3.325554259,9.159859977,3.967327888,0,857
267,0,BlackRock Balanced Capital Portfolio,['BlackRock Balanced Capital Portfolio'],110,358,399,0.461361015,1.268742791,13.49480969,0,867
11,2,State Street Institutional S&P 500 Index Fund,"['S&P 500 Index Fund', 'State Street Institutional S&P 500 Index Fund']",113,310,476,2.725250278,6.006674082,16.46273637,0,899
308,2,State Street S&P 500 Index V.I.S. Fund,"['S&P 500 Index Fund', 'State Street S&P 500 Index V.I.S. Fund']",113,310,476,2.725250278,6.006674082,16.46273637,0,899
364,0,iShares MSCI Developed World Index Fund,"['BlackRock MSCI World Index Fund', 'iShares MSCI Developed World Index Fund']",180,372,355,1.212789416,0.551267916,6.945975744,0,907
95,1,Vanguard Windsor Fund,['Vanguard Windsor Fund'],95,357,458,2.912087912,9.340659341,5.659340659,0,910
366,0,iShares Total U.S. Stock Market Index Fund,"['BlackRock Total Stock Market Index Fund', 'iShares Total U.S. Stock Market Index Fund']",143,355,427,0.972972973,1.297297297,12.10810811,0,925
268,0,BlackRock Advantage Large Cap Core Portfolio,"['BlackRock Large Cap Core Portfolio', 'BlackRock Advantage Large Cap Core Portfolio']",124,379,434,0.53361793,1.067235859,13.02027748,0,937
275,0,BlackRock Advantage Large Cap Core V.I. Fund,"['BlackRock Large Cap Core V.I. Fund', 'BlackRock Advantage Large Cap Core V.I. Fund']",127,377,437,0.531349628,1.062699256,13.07120085,0,941
82,2,SPDR S&P 500 Fossil Fuel Reserves Free ETF,"['SPDR S&P 500 Fossil Fuel Free ETF', 'SPDR S&P 500 Fossil Fuel Reserves Free ETF']",130,402,413,4.656084656,12.22222222,12.32804233,0,945
77,2,SPDR(R) Portfolio Small Cap ETF,"['SPDR Russell 2000 (R) ETF', 'SPDR(R) Portfolio Small Cap ETF']",125,282,584,5.449041372,7.114026236,31.18062563,0,991
279,0,BlackRock Equity Dividend V.I. Fund,"['BlackRock Utilities and Telecommunications V.I. Fund', 'BlackRock Equity Dividend V.I. Fund']",184,392,423,0.4004004,0.3003003,8.008008008,0,999
314,1,Vanguard Growth and Income Fund,['Vanguard Growth and Income Fund'],156,396,474,2.680311891,4.824561404,6.481481481,0,1026
